paymentID,PaymentMethod
394,Mailed check
395,Electronic check
396,Credit card (automatic)
397,Bank transfer (automatic)
398,Credit card (automatic)
399,Electronic check
400,Mailed check
401,Bank transfer (automatic)
402,Credit card (automatic)
403,Credit card (automatic)
404,Bank transfer (automatic)
405,Mailed check
406,Credit card (automatic)
407,Bank transfer (automatic)
408,Mailed check
409,Mailed check
410,Mailed check
411,Electronic check
412,Bank transfer (automatic)
413,Electronic check
414,Electronic check
415,Bank transfer (automatic)
416,Bank transfer (automatic)
417,Bank transfer (automatic)
418,Mailed check
419,Electronic check
420,Bank transfer (automatic)
421,Mailed check
422,Bank transfer (automatic)
423,Credit card (automatic)
424,Mailed check
425,Bank transfer (automatic)
426,Bank transfer (automatic)
427,Bank transfer (automatic)
428,Electronic check
429,Bank transfer (automatic)
430,Bank transfer (automatic)
431,Mailed check
432,Credit card (automatic)
433,Electronic check
434,Bank transfer (automatic)
435,Electronic check
436,Credit card (automatic)
437,Bank transfer (automatic)
438,Credit card (automatic)
439,Bank transfer (automatic)
440,Mailed check
441,Electronic check
442,Credit card (automatic)
443,Mailed check
444,Electronic check
445,Electronic check
446,Electronic check
447,Mailed check
448,Bank transfer (automatic)
449,Electronic check
450,Bank transfer (automatic)
451,Mailed check
452,Mailed check
453,Bank transfer (automatic)
454,Electronic check
455,Mailed check
456,Electronic check
457,Bank transfer (automatic)
458,Bank transfer (automatic)
459,Mailed check
460,Electronic check
461,Mailed check
462,Bank transfer (automatic)
463,Electronic check
464,Electronic check
465,Bank transfer (automatic)
466,Mailed check
467,Electronic check
468,Electronic check
469,Mailed check
470,Electronic check
471,Mailed check
472,Electronic check
473,Mailed check
474,Mailed check
475,Electronic check
476,Electronic check
477,Electronic check
478,Electronic check
479,Electronic check
480,Bank transfer (automatic)
481,Mailed check
482,Bank transfer (automatic)
483,Electronic check
484,Bank transfer (automatic)
485,Electronic check
486,Credit card (automatic)
487,Electronic check
488,Bank transfer (automatic)
489,Bank transfer (automatic)
490,Electronic check
491,Bank transfer (automatic)
492,Electronic check
493,Electronic check
494,Bank transfer (automatic)
495,Mailed check
496,Bank transfer (automatic)
497,Mailed check
498,Bank transfer (automatic)
499,Electronic check
500,Bank transfer (automatic)
501,Credit card (automatic)
502,Credit card (automatic)
503,Bank transfer (automatic)
504,Bank transfer (automatic)
505,Credit card (automatic)
506,Electronic check
507,Mailed check
508,Electronic check
509,Electronic check
510,Mailed check
511,Credit card (automatic)
512,Electronic check
513,Electronic check
514,Bank transfer (automatic)
515,Credit card (automatic)
516,Bank transfer (automatic)
517,Mailed check
518,Electronic check
519,Bank transfer (automatic)
520,Credit card (automatic)
521,Electronic check
522,Electronic check
523,Bank transfer (automatic)
524,Bank transfer (automatic)
525,Electronic check
526,Electronic check
527,Credit card (automatic)
528,Credit card (automatic)
529,Mailed check
530,Bank transfer (automatic)
531,Credit card (automatic)
532,Credit card (automatic)
533,Electronic check
534,Credit card (automatic)
535,Electronic check
536,Electronic check
537,Bank transfer (automatic)
538,Mailed check
539,Credit card (automatic)
540,Bank transfer (automatic)
541,Bank transfer (automatic)
542,Mailed check
543,Mailed check
544,Bank transfer (automatic)
545,Credit card (automatic)
546,Bank transfer (automatic)
547,Mailed check
548,Bank transfer (automatic)
549,Bank transfer (automatic)
550,Mailed check
551,Bank transfer (automatic)
552,Bank transfer (automatic)
553,Bank transfer (automatic)
554,Credit card (automatic)
555,Bank transfer (automatic)
556,Bank transfer (automatic)
557,Bank transfer (automatic)
558,Mailed check
559,Electronic check
560,Electronic check
561,Electronic check
562,Mailed check
563,Credit card (automatic)
564,Credit card (automatic)
565,Bank transfer (automatic)
566,Credit card (automatic)
567,Electronic check
568,Credit card (automatic)
569,Electronic check
570,Credit card (automatic)
571,Credit card (automatic)
572,Bank transfer (automatic)
573,Credit card (automatic)
574,Credit card (automatic)
575,Electronic check
576,Mailed check
577,Bank transfer (automatic)
578,Electronic check
579,Electronic check
580,Mailed check
581,Mailed check
582,Mailed check
583,Electronic check
584,Mailed check
585,Mailed check
586,Electronic check
587,Credit card (automatic)
588,Mailed check
589,Electronic check
590,Electronic check
591,Credit card (automatic)
592,Electronic check
593,Credit card (automatic)
594,Credit card (automatic)
595,Mailed check
596,Mailed check
597,Mailed check
598,Mailed check
599,Credit card (automatic)
600,Credit card (automatic)
601,Credit card (automatic)
602,Mailed check
603,Bank transfer (automatic)
604,Electronic check
605,Bank transfer (automatic)
606,Credit card (automatic)
607,Credit card (automatic)
608,Credit card (automatic)
609,Bank transfer (automatic)
610,Bank transfer (automatic)
611,Electronic check
612,Mailed check
613,Mailed check
614,Credit card (automatic)
615,Bank transfer (automatic)
616,Mailed check
617,Credit card (automatic)
618,Credit card (automatic)
619,Bank transfer (automatic)
620,Bank transfer (automatic)
621,Bank transfer (automatic)
622,Electronic check
623,Electronic check
624,Mailed check
625,Bank transfer (automatic)
626,Electronic check
627,Electronic check
628,Credit card (automatic)
629,Electronic check
630,Credit card (automatic)
631,Bank transfer (automatic)
632,Bank transfer (automatic)
633,Credit card (automatic)
634,Mailed check
635,Bank transfer (automatic)
636,Electronic check
637,Bank transfer (automatic)
638,Credit card (automatic)
639,Bank transfer (automatic)
640,Electronic check
641,Bank transfer (automatic)
642,Electronic check
643,Electronic check
644,Bank transfer (automatic)
645,Electronic check
646,Electronic check
647,Mailed check
648,Electronic check
649,Electronic check
650,Credit card (automatic)
651,Bank transfer (automatic)
652,Mailed check
653,Mailed check
654,Mailed check
655,Electronic check
656,Credit card (automatic)
657,Credit card (automatic)
658,Bank transfer (automatic)
659,Mailed check
660,Bank transfer (automatic)
661,Mailed check
662,Mailed check
663,Mailed check
664,Mailed check
665,Bank transfer (automatic)
666,Mailed check
667,Electronic check
668,Bank transfer (automatic)
669,Mailed check
670,Bank transfer (automatic)
671,Bank transfer (automatic)
672,Credit card (automatic)
673,Mailed check
674,Credit card (automatic)
675,Electronic check
676,Electronic check
677,Bank transfer (automatic)
678,Electronic check
679,Mailed check
680,Bank transfer (automatic)
681,Electronic check
682,Bank transfer (automatic)
683,Credit card (automatic)
684,Credit card (automatic)
685,Mailed check
686,Electronic check
687,Bank transfer (automatic)
688,Electronic check
689,Mailed check
690,Bank transfer (automatic)
691,Mailed check
692,Bank transfer (automatic)
693,Credit card (automatic)
694,Credit card (automatic)
695,Mailed check
696,Mailed check
697,Bank transfer (automatic)
698,Electronic check
699,Bank transfer (automatic)
700,Credit card (automatic)
701,Bank transfer (automatic)
702,Electronic check
703,Electronic check
704,Mailed check
705,Mailed check
706,Bank transfer (automatic)
707,Mailed check
708,Bank transfer (automatic)
709,Credit card (automatic)
710,Credit card (automatic)
711,Mailed check
712,Mailed check
713,Credit card (automatic)
714,Mailed check
715,Mailed check
716,Credit card (automatic)
717,Bank transfer (automatic)
718,Bank transfer (automatic)
719,Credit card (automatic)
720,Credit card (automatic)
721,Mailed check
722,Credit card (automatic)
723,Electronic check
724,Electronic check
725,Electronic check
726,Mailed check
727,Mailed check
728,Electronic check
729,Credit card (automatic)
730,Credit card (automatic)
731,Electronic check
732,Mailed check
733,Electronic check
734,Bank transfer (automatic)
735,Bank transfer (automatic)
736,Credit card (automatic)
737,Credit card (automatic)
738,Credit card (automatic)
739,Bank transfer (automatic)
740,Bank transfer (automatic)
741,Mailed check
742,Electronic check
743,Electronic check
744,Mailed check
745,Credit card (automatic)
746,Credit card (automatic)
747,Bank transfer (automatic)
748,Mailed check
749,Mailed check
750,Credit card (automatic)
751,Mailed check
752,Credit card (automatic)
753,Credit card (automatic)
754,Mailed check
755,Electronic check
756,Electronic check
757,Bank transfer (automatic)
758,Mailed check
759,Bank transfer (automatic)
760,Bank transfer (automatic)
761,Mailed check
762,Electronic check
763,Electronic check
764,Bank transfer (automatic)
765,Mailed check
766,Mailed check
767,Mailed check
768,Bank transfer (automatic)
769,Electronic check
770,Mailed check
771,Credit card (automatic)
772,Electronic check
773,Mailed check
774,Mailed check
775,Electronic check
776,Credit card (automatic)
777,Mailed check
778,Electronic check
779,Credit card (automatic)
780,Electronic check
781,Credit card (automatic)
782,Mailed check
783,Credit card (automatic)
784,Electronic check
785,Bank transfer (automatic)
786,Electronic check
787,Bank transfer (automatic)
788,Bank transfer (automatic)
789,Electronic check
790,Bank transfer (automatic)
791,Credit card (automatic)
792,Credit card (automatic)
793,Mailed check
794,Credit card (automatic)
795,Credit card (automatic)
796,Mailed check
797,Credit card (automatic)
798,Bank transfer (automatic)
799,Electronic check
800,Electronic check
801,Credit card (automatic)
802,Electronic check
803,Mailed check
804,Credit card (automatic)
805,Electronic check
806,Bank transfer (automatic)
807,Credit card (automatic)
808,Credit card (automatic)
809,Electronic check
810,Electronic check
811,Bank transfer (automatic)
812,Credit card (automatic)
813,Electronic check
814,Bank transfer (automatic)
815,Bank transfer (automatic)
816,Mailed check
817,Mailed check
818,Bank transfer (automatic)
819,Electronic check
820,Credit card (automatic)
821,Electronic check
822,Credit card (automatic)
823,Electronic check
824,Credit card (automatic)
825,Credit card (automatic)
826,Credit card (automatic)
827,Bank transfer (automatic)
828,Mailed check
829,Electronic check
830,Electronic check
831,Electronic check
832,Credit card (automatic)
833,Credit card (automatic)
834,Electronic check
835,Electronic check
836,Electronic check
837,Credit card (automatic)
838,Mailed check
839,Credit card (automatic)
840,Credit card (automatic)
841,Electronic check
842,Credit card (automatic)
843,Bank transfer (automatic)
844,Bank transfer (automatic)
845,Electronic check
846,Mailed check
847,Bank transfer (automatic)
848,Credit card (automatic)
849,Credit card (automatic)
850,Credit card (automatic)
851,Bank transfer (automatic)
852,Mailed check
853,Mailed check
854,Electronic check
855,Credit card (automatic)
856,Electronic check
857,Credit card (automatic)
858,Electronic check
859,Electronic check
860,Credit card (automatic)
861,Credit card (automatic)
862,Bank transfer (automatic)
863,Electronic check
864,Electronic check
865,Credit card (automatic)
866,Mailed check
867,Bank transfer (automatic)
868,Mailed check
869,Electronic check
870,Mailed check
871,Bank transfer (automatic)
872,Credit card (automatic)
873,Credit card (automatic)
874,Electronic check
875,Bank transfer (automatic)
876,Credit card (automatic)
877,Electronic check
878,Bank transfer (automatic)
879,Electronic check
880,Bank transfer (automatic)
881,Electronic check
882,Credit card (automatic)
883,Electronic check
884,Electronic check
885,Credit card (automatic)
886,Mailed check
887,Electronic check
888,Bank transfer (automatic)
889,Credit card (automatic)
890,Electronic check
891,Electronic check
892,Bank transfer (automatic)
893,Credit card (automatic)
894,Electronic check
895,Credit card (automatic)
896,Credit card (automatic)
897,Bank transfer (automatic)
898,Electronic check
899,Bank transfer (automatic)
900,Credit card (automatic)
901,Mailed check
902,Credit card (automatic)
903,Electronic check
904,Credit card (automatic)
905,Credit card (automatic)
906,Electronic check
907,Electronic check
908,Bank transfer (automatic)
909,Mailed check
910,Electronic check
911,Electronic check
912,Credit card (automatic)
913,Bank transfer (automatic)
914,Credit card (automatic)
915,Bank transfer (automatic)
916,Electronic check
917,Bank transfer (automatic)
918,Bank transfer (automatic)
919,Electronic check
920,Mailed check
921,Bank transfer (automatic)
922,Mailed check
923,Electronic check
924,Credit card (automatic)
925,Electronic check
926,Bank transfer (automatic)
927,Electronic check
928,Electronic check
929,Credit card (automatic)
930,Electronic check
931,Bank transfer (automatic)
932,Bank transfer (automatic)
933,Credit card (automatic)
934,Electronic check
935,Mailed check
936,Electronic check
937,Mailed check
938,Electronic check
939,Credit card (automatic)
940,Mailed check
941,Bank transfer (automatic)
942,Electronic check
943,Credit card (automatic)
944,Bank transfer (automatic)
945,Bank transfer (automatic)
946,Bank transfer (automatic)
947,Mailed check
948,Mailed check
949,Electronic check
950,Bank transfer (automatic)
951,Mailed check
952,Electronic check
953,Mailed check
954,Electronic check
955,Electronic check
956,Credit card (automatic)
957,Bank transfer (automatic)
958,Electronic check
959,Bank transfer (automatic)
960,Electronic check
961,Bank transfer (automatic)
962,Mailed check
963,Bank transfer (automatic)
964,Bank transfer (automatic)
965,Mailed check
966,Credit card (automatic)
967,Electronic check
968,Mailed check
969,Credit card (automatic)
970,Electronic check
971,Electronic check
972,Bank transfer (automatic)
973,Bank transfer (automatic)
974,Electronic check
975,Credit card (automatic)
976,Electronic check
977,Electronic check
978,Electronic check
979,Electronic check
980,Bank transfer (automatic)
981,Bank transfer (automatic)
982,Mailed check
983,Electronic check
984,Electronic check
985,Bank transfer (automatic)
986,Bank transfer (automatic)
987,Bank transfer (automatic)
988,Bank transfer (automatic)
989,Mailed check
990,Credit card (automatic)
991,Bank transfer (automatic)
992,Credit card (automatic)
993,Credit card (automatic)
994,Credit card (automatic)
995,Credit card (automatic)
996,Credit card (automatic)
997,Credit card (automatic)
998,Electronic check
999,Bank transfer (automatic)
1000,Electronic check
1001,Electronic check
1002,Electronic check
1003,Mailed check
1004,Mailed check
1005,Mailed check
1006,Credit card (automatic)
1007,Electronic check
1008,Electronic check
1009,Credit card (automatic)
1010,Electronic check
1011,Mailed check
1012,Mailed check
1013,Bank transfer (automatic)
1014,Electronic check
1015,Electronic check
1016,Credit card (automatic)
1017,Mailed check
1018,Bank transfer (automatic)
1019,Electronic check
1020,Mailed check
1021,Credit card (automatic)
1022,Mailed check
1023,Electronic check
1024,Electronic check
1025,Mailed check
1026,Bank transfer (automatic)
1027,Electronic check
1028,Credit card (automatic)
1029,Electronic check
1030,Mailed check
1031,Bank transfer (automatic)
1032,Bank transfer (automatic)
1033,Electronic check
1034,Bank transfer (automatic)
1035,Bank transfer (automatic)
1036,Mailed check
1037,Bank transfer (automatic)
1038,Electronic check
1039,Electronic check
1040,Electronic check
1041,Credit card (automatic)
1042,Bank transfer (automatic)
1043,Electronic check
1044,Bank transfer (automatic)
1045,Bank transfer (automatic)
1046,Bank transfer (automatic)
1047,Credit card (automatic)
1048,Mailed check
1049,Mailed check
1050,Mailed check
1051,Electronic check
1052,Credit card (automatic)
1053,Mailed check
1054,Electronic check
1055,Bank transfer (automatic)
1056,Mailed check
1057,Electronic check
1058,Mailed check
1059,Bank transfer (automatic)
1060,Electronic check
1061,Bank transfer (automatic)
1062,Electronic check
1063,Bank transfer (automatic)
1064,Bank transfer (automatic)
1065,Mailed check
1066,Bank transfer (automatic)
1067,Mailed check
1068,Electronic check
1069,Bank transfer (automatic)
1070,Mailed check
1071,Bank transfer (automatic)
1072,Credit card (automatic)
1073,Bank transfer (automatic)
1074,Bank transfer (automatic)
1075,Mailed check
1076,Bank transfer (automatic)
1077,Credit card (automatic)
1078,Bank transfer (automatic)
1079,Credit card (automatic)
1080,Electronic check
1081,Bank transfer (automatic)
1082,Electronic check
1083,Mailed check
1084,Electronic check
1085,Credit card (automatic)
1086,Electronic check
1087,Bank transfer (automatic)
1088,Bank transfer (automatic)
1089,Credit card (automatic)
1090,Credit card (automatic)
1091,Bank transfer (automatic)
1092,Bank transfer (automatic)
1093,Credit card (automatic)
1094,Electronic check
1095,Bank transfer (automatic)
1096,Electronic check
1097,Bank transfer (automatic)
1098,Electronic check
1099,Electronic check
1100,Mailed check
1101,Electronic check
1102,Electronic check
1103,Mailed check
1104,Electronic check
1105,Mailed check
1106,Electronic check
1107,Bank transfer (automatic)
1108,Bank transfer (automatic)
1109,Credit card (automatic)
1110,Mailed check
1111,Bank transfer (automatic)
1112,Bank transfer (automatic)
1113,Mailed check
1114,Credit card (automatic)
1115,Credit card (automatic)
1116,Credit card (automatic)
1117,Electronic check
1118,Credit card (automatic)
1119,Credit card (automatic)
1120,Bank transfer (automatic)
1121,Credit card (automatic)
1122,Credit card (automatic)
1123,Credit card (automatic)
1124,Bank transfer (automatic)
1125,Bank transfer (automatic)
1126,Electronic check
1127,Mailed check
1128,Mailed check
1129,Electronic check
1130,Credit card (automatic)
1131,Credit card (automatic)
1132,Bank transfer (automatic)
1133,Bank transfer (automatic)
1134,Mailed check
1135,Electronic check
1136,Bank transfer (automatic)
1137,Credit card (automatic)
1138,Mailed check
1139,Bank transfer (automatic)
1140,Mailed check
1141,Credit card (automatic)
1142,Mailed check
1143,Credit card (automatic)
1144,Credit card (automatic)
1145,Electronic check
1146,Bank transfer (automatic)
1147,Mailed check
1148,Electronic check
1149,Electronic check
1150,Mailed check
1151,Electronic check
1152,Electronic check
1153,Mailed check
1154,Mailed check
1155,Bank transfer (automatic)
1156,Credit card (automatic)
1157,Mailed check
1158,Credit card (automatic)
1159,Credit card (automatic)
1160,Electronic check
1161,Electronic check
1162,Mailed check
1163,Bank transfer (automatic)
1164,Bank transfer (automatic)
1165,Bank transfer (automatic)
1166,Credit card (automatic)
1167,Electronic check
1168,Credit card (automatic)
1169,Mailed check
1170,Credit card (automatic)
1171,Electronic check
1172,Electronic check
1173,Electronic check
1174,Electronic check
1175,Mailed check
1176,Credit card (automatic)
1177,Credit card (automatic)
1178,Mailed check
1179,Electronic check
1180,Electronic check
1181,Bank transfer (automatic)
1182,Bank transfer (automatic)
1183,Electronic check
1184,Electronic check
1185,Mailed check
1186,Electronic check
1187,Bank transfer (automatic)
1188,Bank transfer (automatic)
1189,Electronic check
1190,Credit card (automatic)
1191,Electronic check
1192,Credit card (automatic)
1193,Electronic check
1194,Mailed check
1195,Electronic check
1196,Electronic check
1197,Electronic check
1198,Credit card (automatic)
1199,Bank transfer (automatic)
1200,Electronic check
1201,Credit card (automatic)
1202,Electronic check
1203,Bank transfer (automatic)
1204,Mailed check
1205,Credit card (automatic)
1206,Electronic check
1207,Electronic check
1208,Credit card (automatic)
1209,Electronic check
1210,Electronic check
1211,Electronic check
1212,Electronic check
1213,Electronic check
1214,Bank transfer (automatic)
1215,Bank transfer (automatic)
1216,Electronic check
1217,Credit card (automatic)
1218,Credit card (automatic)
1219,Credit card (automatic)
1220,Credit card (automatic)
1221,Bank transfer (automatic)
1222,Mailed check
1223,Mailed check
1224,Electronic check
1225,Mailed check
1226,Electronic check
1227,Bank transfer (automatic)
1228,Bank transfer (automatic)
1229,Mailed check
1230,Credit card (automatic)
1231,Electronic check
1232,Credit card (automatic)
1233,Electronic check
1234,Bank transfer (automatic)
1235,Electronic check
1236,Mailed check
1237,Electronic check
1238,Mailed check
1239,Electronic check
1240,Credit card (automatic)
1241,Mailed check
1242,Mailed check
1243,Electronic check
1244,Electronic check
1245,Bank transfer (automatic)
1246,Electronic check
1247,Electronic check
1248,Bank transfer (automatic)
1249,Electronic check
1250,Mailed check
1251,Bank transfer (automatic)
1252,Electronic check
1253,Electronic check
1254,Electronic check
1255,Credit card (automatic)
1256,Electronic check
1257,Credit card (automatic)
1258,Electronic check
1259,Mailed check
1260,Credit card (automatic)
1261,Mailed check
1262,Electronic check
1263,Electronic check
1264,Bank transfer (automatic)
1265,Credit card (automatic)
1266,Credit card (automatic)
1267,Electronic check
1268,Bank transfer (automatic)
1269,Electronic check
1270,Bank transfer (automatic)
1271,Credit card (automatic)
1272,Electronic check
1273,Mailed check
1274,Electronic check
1275,Bank transfer (automatic)
1276,Mailed check
1277,Electronic check
1278,Credit card (automatic)
1279,Credit card (automatic)
1280,Bank transfer (automatic)
1281,Bank transfer (automatic)
1282,Bank transfer (automatic)
1283,Mailed check
1284,Electronic check
1285,Mailed check
1286,Electronic check
1287,Credit card (automatic)
1288,Electronic check
1289,Mailed check
1290,Bank transfer (automatic)
1291,Credit card (automatic)
1292,Electronic check
1293,Bank transfer (automatic)
1294,Bank transfer (automatic)
1295,Electronic check
1296,Bank transfer (automatic)
1297,Bank transfer (automatic)
1298,Electronic check
1299,Electronic check
1300,Electronic check
1301,Credit card (automatic)
1302,Credit card (automatic)
1303,Mailed check
1304,Bank transfer (automatic)
1305,Bank transfer (automatic)
1306,Bank transfer (automatic)
1307,Credit card (automatic)
1308,Mailed check
1309,Electronic check
1310,Electronic check
1311,Electronic check
1312,Credit card (automatic)
1313,Bank transfer (automatic)
1314,Electronic check
1315,Electronic check
1316,Credit card (automatic)
1317,Mailed check
1318,Mailed check
